"cluster.number";"n";"within.cluster.ss";"average.within";"average.between";"wb.ratio";"dunn2";"avg.silwidth";"Cluster..10..size";"Cluster..20..size";"Cluster..30..size";"Cluster..40..size";"Cluster..50..size";"Cluster..60..size";"Cluster..70..size";"Cluster..80..size";"Cluster..90..size";"Cluster..100..size";"Cluster..110..size";"Cluster..120..size";"Cluster..130..size";"Cluster..140..size";"Cluster..150..size";"Cluster..160..size";"Cluster..170..size";"Cluster..180..size";"Cluster..190..size";"Cluster..200..size";"Cluster..210..size";"Cluster..220..size";"Cluster..230..size";"Cluster..240..size";"Cluster..250..size";"Cluster..260..size";"Cluster..270..size";"Cluster..280..size";"Cluster..290..size";"Cluster..300..size";"Cluster..310..size";"Cluster..320..size";"Cluster..330..size";"Cluster..340..size";"Cluster..350..size"
"Test 9";10;528;69.84;0.49;0.78;0.62;0.99;0.14;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 19";20;528;59.84;0.45;0.77;0.58;0.9;0.12;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 29";30;528;43.6;0.38;0.75;0.51;0.84;0.17;69;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 39";40;528;34.58;0.34;0.75;0.46;0.56;0.19;2;40;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 49";50;528;27.51;0.3;0.74;0.41;0.75;0.23;2;11;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 59";60;528;24.12;0.29;0.74;0.39;0.75;0.24;2;3;9;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 69";70;528;22.33;0.27;0.74;0.37;0.75;0.23;4;37;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 79";80;528;18.43;0.25;0.74;0.34;0.68;0.27;4;37;1;2;8;6;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 89";90;528;15.52;0.23;0.73;0.31;0.61;0.3;4;37;3;1;4;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 99";100;528;13.1;0.21;0.73;0.29;0.61;0.33;4;19;5;2;1;14;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
