"cluster.number";"n";"within.cluster.ss";"average.within";"average.between";"wb.ratio";"dunn2";"avg.silwidth";"Cluster..10..size";"Cluster..20..size";"Cluster..30..size";"Cluster..40..size";"Cluster..50..size";"Cluster..60..size";"Cluster..70..size";"Cluster..80..size";"Cluster..90..size";"Cluster..100..size";"Cluster..110..size";"Cluster..120..size";"Cluster..130..size";"Cluster..140..size";"Cluster..150..size";"Cluster..160..size";"Cluster..170..size";"Cluster..180..size";"Cluster..190..size";"Cluster..200..size";"Cluster..210..size";"Cluster..220..size";"Cluster..230..size";"Cluster..240..size";"Cluster..250..size";"Cluster..260..size";"Cluster..270..size";"Cluster..280..size";"Cluster..290..size";"Cluster..300..size";"Cluster..310..size";"Cluster..320..size";"Cluster..330..size";"Cluster..340..size";"Cluster..350..size"
"Test 9";10;528;94.78;0.56;0.86;0.66;1.08;0.12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 19";20;528;57.79;0.44;0.83;0.53;0.96;0.21;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 29";30;528;51.27;0.41;0.83;0.49;0.95;0.19;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 39";40;528;46.63;0.39;0.82;0.47;0.78;0.16;4;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 49";50;528;27.57;0.3;0.78;0.38;0.86;0.3;3;5;11;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 59";60;528;22.61;0.27;0.78;0.35;0.72;0.31;6;9;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 69";70;528;21.56;0.27;0.78;0.34;0.72;0.29;6;9;2;1;1;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 79";80;528;19.62;0.25;0.78;0.32;0.72;0.3;6;9;2;1;3;1;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 89";90;528;17.99;0.24;0.78;0.31;0.67;0.29;6;3;8;1;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 99";100;528;15.4;0.22;0.77;0.28;0.67;0.32;6;2;3;1;1;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 109";110;528;13.79;0.21;0.77;0.27;0.67;0.31;3;2;3;2;2;5;1;11;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 119";120;528;12.2;0.19;0.77;0.25;0.62;0.32;3;2;1;3;1;4;1;1;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 129";130;528;9.76;0.18;0.77;0.23;0.77;0.34;16;10;1;8;8;2;3;1;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 139";140;528;6.1;0.14;0.76;0.19;0.88;0.42;9;4;3;1;5;2;2;1;1;2;4;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 149";150;528;5.05;0.13;0.76;0.18;1;0.43;9;12;2;5;2;2;8;1;1;3;1;1;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 159";160;528;4.65;0.12;0.76;0.16;1;0.43;9;12;2;5;2;2;8;1;1;3;1;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 169";170;528;4.38;0.12;0.76;0.16;1;0.42;9;12;2;5;2;2;8;1;1;1;1;2;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 179";180;528;4.13;0.12;0.76;0.15;1;0.42;9;12;2;5;2;2;8;1;1;1;1;1;1;1;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 189";190;528;3.75;0.11;0.76;0.14;1;0.44;9;12;2;5;2;2;1;1;2;1;3;5;2;1;3;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 199";200;528;3.48;0.1;0.76;0.13;1;0.44;9;12;2;5;2;1;1;1;2;1;1;1;1;2;1;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 209";210;528;3.14;0.09;0.76;0.12;1;0.46;9;12;2;5;2;1;1;1;1;2;3;1;1;1;1;1;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 219";220;528;2.86;0.09;0.76;0.11;1;0.46;9;12;2;5;1;1;1;1;1;1;1;1;1;5;2;2;1;3;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Test 229";230;528;2.55;0.08;0.76;0.1;1;0.48;9;12;2;2;1;3;1;1;4;1;5;1;1;3;1;3;2;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
"Test 239";240;528;2.26;0.07;0.76;0.09;1;0.49;9;12;2;1;2;2;1;1;1;2;6;1;1;3;1;1;1;2;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0
"Test 249";250;528;1.73;0.05;0.76;0.07;1;0.53;9;12;1;1;1;2;3;1;1;1;1;1;2;4;1;1;1;3;2;1;5;1;1;1;2;0;0;0;0;0;0;0;0;0;0
"Test 259";260;528;1.46;0.05;0.75;0.06;1;0.53;9;1;2;3;2;1;2;1;1;1;1;2;1;1;1;3;5;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0
"Test 269";270;528;1.16;0.04;0.75;0.05;1;0.54;9;1;1;1;1;2;3;2;4;2;1;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;2;0;0;0;0;0;0;0;0
"Test 279";280;528;0.84;0.03;0.75;0.04;0.5;0.56;9;1;1;1;3;1;2;1;2;1;1;1;6;6;1;1;1;3;1;3;2;1;2;2;1;1;1;2;0;0;0;0;0;0;0
"Test 289";290;528;0.63;0.02;0.75;0.03;0.4;0.56;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;2;1;2;1;3;1;1;1;1;1;2;0;0;0;0;0;0
"Test 299";300;528;0.36;0.01;0.75;0.02;0.4;0.56;1;1;3;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;0;0;0;0;0
"Test 309";310;528;0;0;0.75;0;Inf;0.58;1;1;1;2;3;2;2;3;1;1;1;1;1;6;5;1;1;1;2;1;5;3;2;1;3;1;4;1;1;1;2;0;0;0;0
"Test 319";320;528;0;0;0.75;0;NA;0.55;1;1;1;2;3;2;2;3;1;1;1;1;1;6;5;1;1;1;2;1;5;3;2;1;3;1;1;1;1;1;1;1;0;0;0
"Test 329";330;528;0;0;0.75;0;NA;0.51;1;1;1;2;3;2;2;3;1;1;1;1;1;6;5;1;1;1;2;1;5;3;2;1;3;1;1;1;1;1;1;1;1;0;0
"Test 339";340;528;0;0;0.75;0;NA;0.5;1;1;1;2;3;2;2;3;1;1;1;1;1;6;5;1;1;1;2;1;5;3;2;1;1;1;1;1;1;1;1;1;1;1;0
"Test 349";350;528;0;0;0.75;0;NA;0.47;1;1;1;2;3;2;2;3;1;1;1;1;1;6;5;1;1;1;2;1;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1
